PERIOD_BEGIN,MEDIAN_SALE_PRICE,HOMES_SOLD,NEW_LISTINGS,INVENTORY,MONTHS_OF_SUPPLY,MEDIAN_DOM,PRICE_DROPS
2012-01-01,159752.819152492,6119.428430724,9475.590767311,43739.376450124,7.59153968,83.90507362,0.2724619063
2012-01-01,110000.0,1092.0,2353.0,11305.0,10.4,107.0,0.2529854047
2012-01-01,174879.911628525,3472.745107767,5322.990477115,24277.746270997,7.551241599,79.562571905,0.2783616968
2012-01-01,152047.94363935,574.514680263,938.795792996,4240.141543706,8.093431341,95.997289631,0.2801031133
2012-01-01,140000.0,357.0,754.0,3866.0,10.8,122.0,0.2553026384
2012-01-01,152000.0,2266.0,4445.0,21693.0,9.6,92.0,0.2644631909
2012-01-01,105000.0,268.0,571.0,2632.0,9.8,77.0,0.2640577508
2012-01-01,129589.883303173,1717.29412864,2703.900250995,12343.32634891,7.6421954,85.116036331,0.2789040195
2012-01-01,140000.0,3983.0,8123.0,39496.0,9.9,97.0,0.2601276079
2012-02-01,144493.555956777,579.145922897,941.936842801,4056.289443239,7.399853316,81.798945213,0.2988460504
2012-02-01,130000.0,390.0,905.0,3877.0,9.9,107.0,0.2605107042
2012-02-01,150000.0,2396.0,5393.0,22016.0,9.2,98.0,0.2648528343
2012-02-01,159593.222082289,6337.909906001,9385.476317005,42521.413438367,6.957689287,82.563997098,0.274944122
2012-02-01,101200.0,1236.0,2791.0,11478.0,9.3,112.0,0.2314863217
2012-02-01,93750.0,292.0,548.0,2605.0,8.9,71.0,0.2395393474
2012-02-01,135000.0,4314.0,9637.0,39976.0,9.3,100.0,0.2531268761
2012-02-01,175677.03508191,3571.605137608,5329.375950311,23707.114200794,6.686065781,78.744315634,0.2835774647
2012-02-01,127002.172924187,1796.344963587,2620.100931064,11889.726833871,6.435816344,86.599679399,0.2710462074
2012-03-01,157249.766735822,6100.007017214,9497.052160944,41730.624003462,7.262461393,86.542200201,0.2745321806
2012-03-01,150000.0,5730.0,11617.0,40661.0,7.1,102.0,0.2690046974
2012-03-01,123645.344704262,1699.690932239,2583.258525191,11549.232997695,7.559969498,94.397904376,0.2675831811
2012-03-01,145000.0,531.0,1118.0,3969.0,7.5,112.0,0.2585034014
2012-03-01,146107.847510946,553.710707121,890.362004058,4058.572880077,7.814584692,95.514197229,0.2788730965
2012-03-01,85000.0,319.0,682.0,2591.0,8.1,76.0,0.2624469317
2012-03-01,122500.0,1581.0,3208.0,11524.0,7.3,114.0,0.2572891357
2012-03-01,173947.860235815,3600.038839327,5391.342101011,23431.531156202,6.740279179,80.162895609,0.2830671068
2012-03-01,165000.0,3299.0,6609.0,22577.0,6.8,98.0,0.2778048456
2012-04-01,171192.532974051,3498.089681354,5285.981029498,22633.763290126,6.878555072,79.597153508,0.2719492284
2012-04-01,153915.973884168,6067.721410554,9272.980106547,40307.880697776,6.941662318,85.704184561,0.2648170248
2012-04-01,105766.5,350.0,641.0,2626.0,7.5,73.0,0.2437166794
2012-04-01,156500.0,6041.0,11111.0,40751.0,6.7,87.0,0.2658339673
2012-04-01,147400.12722929,553.794287016,854.158009664,3986.838187684,7.331020446,95.261899065,0.2772149043
2012-04-01,174000.0,3412.0,6426.0,22825.0,6.7,83.0,0.2732968237
2012-04-01,117810.172560644,1647.456808445,2459.694178782,11013.834244513,6.911170442,99.724337155,0.2575174748
2012-04-01,128000.0,1730.0,2953.0,11275.0,6.5,97.0,0.2546341463
2012-04-01,150000.0,549.0,1091.0,4025.0,7.3,88.0,0.2698136646
2012-05-01,140000.0,333.0,685.0,2663.0,8.0,64.0,0.2561021404
2012-05-01,185000.0,4166.0,6553.0,22955.0,5.5,66.0,0.2846874319
2012-05-01,170000.0,7273.0,11190.0,40555.0,5.6,70.0,0.2727653803
2012-05-01,155487.203302175,6030.757153084,9229.782616165,38902.804958441,6.633390702,79.570038964,0.2567280957
2012-05-01,170651.138174846,3503.615988779,5259.009969711,21976.125579317,6.245317525,76.044579513,0.2642501405
2012-05-01,144097.820343721,548.100281749,775.713586345,3758.277420794,7.014910231,97.349728139,0.2639308236
2012-05-01,140000.0,2130.0,2952.0,11013.0,5.2,77.0,0.2527921547
2012-05-01,151500.0,644.0,1000.0,3924.0,6.1,78.0,0.2724260958
