PERIOD_BEGIN,MEDIAN_SALE_PRICE,HOMES_SOLD,NEW_LISTINGS,INVENTORY,MONTHS_OF_SUPPLY,MEDIAN_DOM,PRICE_DROPS,MONTH,YEAR,MEDIAN_SALE_PRICE_LAG_1,MEDIAN_SALE_PRICE_LAG_3,HOMES_SOLD_LAG_1,HOMES_SOLD_LAG_3,NEW_LISTINGS_LAG_1,NEW_LISTINGS_LAG_3,INVENTORY_LAG_1,INVENTORY_LAG_3,MONTHS_OF_SUPPLY_LAG_1,MONTHS_OF_SUPPLY_LAG_3,MEDIAN_DOM_LAG_1,MEDIAN_DOM_LAG_3,PRICE_DROPS_LAG_1,PRICE_DROPS_LAG_3,MEDIAN_SALE_PRICE_ROLL3,MEDIAN_SALE_PRICE_ROLL6,HOMES_SOLD_ROLL3,HOMES_SOLD_ROLL6,NEW_LISTINGS_ROLL3,NEW_LISTINGS_ROLL6,INVENTORY_ROLL3,INVENTORY_ROLL6,MONTHS_OF_SUPPLY_ROLL3,MONTHS_OF_SUPPLY_ROLL6,MEDIAN_DOM_ROLL3,MEDIAN_DOM_ROLL6,PRICE_DROPS_ROLL3,PRICE_DROPS_ROLL6,PRICE_DROPS_YOY,RISK_SCORE,RISK_LABEL
2013-02-01,139000.0,5150.0,9615.0,29834.0,5.8,74.0,0.1937386874,2,2013,141000.0,155000.0,5455.0,6629.0,9038.0,6573.0,29731.0,32660.0,5.5,4.9,75.0,68.0,0.2302647069,0.2153398653,149000.0,155150.0,6171.333333333333,6713.166666666667,6942.0,7975.833333333333,30704.333333333332,33930.666666666664,5.0,5.066666666666666,70.66666666666667,67.66666666666667,0.2017950687,0.23519696425,-11.48009672678807,0.9144402510869937,0
2013-03-01,155000.0,6877.0,10864.0,29598.0,4.3,67.0,0.2021420366,3,2013,139000.0,151000.0,5150.0,6430.0,9615.0,5215.0,29834.0,29722.0,5.8,4.6,74.0,69.0,0.1937386874,0.1597806339,143666.66666666666,149983.33333333334,5678.333333333333,6234.666666666667,7956.0,7974.0,29762.333333333332,32499.833333333332,5.3,5.233333333333333,72.66666666666667,69.16666666666667,0.19459467606666667,0.2202358193,-23.46182658080851,0.36876994611703356,0
2013-04-01,173000.0,7931.0,12783.0,30195.0,3.8,50.0,0.2232488823,4,2013,155000.0,141000.0,6877.0,5455.0,10864.0,9038.0,29598.0,29731.0,4.3,5.5,67.0,75.0,0.2021420366,0.2302647069,145000.0,149166.66666666666,5827.333333333333,6291.5,9839.0,8328.5,29721.0,31176.333333333332,5.2,5.0,72.0,69.83333333333333,0.20871514363333335,0.21157020891666667,-24.85557369304139,0.036273210576363846,1
2013-05-01,183000.0,9482.0,12670.0,30832.0,3.3,44.0,0.2290477426,5,2013,173000.0,139000.0,7931.0,5150.0,12783.0,9615.0,30195.0,29834.0,3.8,5.8,50.0,74.0,0.2232488823,0.1937386874,155666.66666666666,152333.33333333334,6652.666666666667,6412.0,11087.333333333334,9014.666666666666,29875.666666666668,30290.0,4.633333333333334,4.816666666666666,63.666666666666664,67.16666666666667,0.20637653543333334,0.20408580206666663,-16.019429508021332,-0.1928270858437441,1
2013-06-01,207000.0,9567.0,12064.0,31447.0,3.3,40.0,0.2203071835,6,2013,183000.0,155000.0,9482.0,6877.0,12670.0,10864.0,30832.0,29598.0,3.3,4.3,44.0,67.0,0.2290477426,0.2021420366,170333.33333333334,157000.0,8096.666666666667,6887.5,12105.666666666666,10030.833333333334,30208.333333333332,29985.333333333332,3.7999999999999994,4.55,53.666666666666664,63.166666666666664,0.2181462205,0.20637044828333337,-16.02756099469711,-0.31705145137590085,0
2013-07-01,202500.0,10134.0,11805.0,31890.0,3.1,38.0,0.2483223581,7,2013,207000.0,173000.0,9567.0,7931.0,12064.0,12783.0,31447.0,30195.0,3.3,3.8,40.0,50.0,0.2203071835,0.2232488823,187666.66666666666,166333.33333333334,8993.333333333334,7410.333333333333,12505.666666666666,11172.333333333334,30824.666666666668,30272.833333333332,3.4666666666666663,4.333333333333333,44.666666666666664,58.333333333333336,0.22420126946666666,0.21645820655,-19.340047457304056,-0.24598113633829563,1
2013-08-01,198000.0,9964.0,11215.0,31867.0,3.2,39.0,0.2524868987,8,2013,202500.0,183000.0,10134.0,9482.0,11805.0,12670.0,31890.0,30832.0,3.1,3.3,38.0,44.0,0.2483223581,0.2290477426,197500.0,176583.33333333334,9727.666666666666,8190.166666666667,12179.666666666666,11633.5,31389.666666666668,30632.666666666668,3.233333333333333,3.9333333333333336,40.666666666666664,52.166666666666664,0.23255909473333333,0.21946781508333332,-8.670178382652916,-0.1714889184152335,1
2013-09-01,185000.0,8300.0,10057.0,32434.0,3.9,41.0,0.2409816859,9,2013,198000.0,207000.0,9964.0,9567.0,11215.0,12064.0,31867.0,31447.0,3.2,3.3,39.0,40.0,0.2524868987,0.2203071835,202500.0,186416.66666666666,9888.333333333334,8992.5,11694.666666666666,11900.166666666666,31734.666666666668,30971.5,3.1999999999999997,3.5,39.0,46.333333333333336,0.2403721467666667,0.2292591836333333,-10.941111249208735,0.014661089749804864,1
2013-10-01,175000.0,8096.0,9315.0,32361.0,4.0,44.0,0.2521244708,10,2013,185000.0,202500.0,8300.0,10134.0,10057.0,11805.0,32434.0,31890.0,3.9,3.1,41.0,38.0,0.2409816859,0.2483223581,195166.66666666666,191416.66666666666,9466.0,9229.666666666666,11025.666666666666,11765.666666666666,32063.666666666668,31444.166666666668,3.4,3.433333333333333,39.333333333333336,42.0,0.24726364756666666,0.23573245851666666,-5.1759800204913216,0.16705601966405603,1
2013-11-01,170000.0,6639.0,6782.0,28586.0,4.3,51.0,0.2069894354,11,2013,175000.0,198000.0,8096.0,9964.0,9315.0,11215.0,32361.0,31867.0,4.0,3.2,44.0,39.0,0.2521244708,0.2524868987,186000.0,191750.0,8786.666666666666,9257.166666666666,10195.666666666666,11187.666666666666,32220.666666666668,31805.166666666668,3.7000000000000006,3.4666666666666663,41.333333333333336,41.0,0.24853101846666667,0.24054505660000003,-5.978196664806534,0.11290918054137689,0
